Name,Shape,Level,School,Effect
Unearthly Blocking Sapphire +61,Square,170,Ice,+61 Global Critical Block Rating
Unearthly Health Jade +775,Square,170,Life,+775 Health
Unearthly Damage Sapphire +9% (Life),Circle,170,Life,+9 Ice Damage
Unearthly Damage Ruby +9% (Life),Circle,170,Life,+9 Fire Damage
Unearthly Damage Peridot +9% (Life),Circle,170,Life,+9 Myth Damage
Unearthly Damage Onyx +9% (Life),Circle,170,Life,+9 Death Damage
Unearthly Damage Jade +9% (Life),Circle,170,Life,+9 Life Damage
Unearthly Damage Citrine +9% (Life),Circle,170,Life,+9 Balance Damage
Unearthly Damage Amethyst +9% (Life),Circle,170,Life,+9 Storm Damage
Unearthly Critical Sapphire +44 (Life),Circle,170,Life,+44 Ice Critical Rating
Unearthly Critical Ruby +44 (Life),Circle,170,Life,+44 Fire Critical Rating
Unearthly Critical Peridot +44 (Life),Circle,170,Life,+44 Myth Critical Rating
Unearthly Critical Onyx +44 (Life),Circle,170,Life,+44 Death Critical Rating
Unearthly Critical Jade +44 (Life),Circle,170,Life,+44 Life Critical Rating
Unearthly Critical Citrine +44 (Life),Circle,170,Life,+44 Balance Critical Rating
Unearthly Critical Amethyst +44 (Life),Circle,170,Life,+44 Storm Critical Rating
Unearthly Blocking Jade +57,Square,170,Life,+57 Global Critical Block Rating
Unearthly Health Peridot +595,Square,170,Myth,+595 Health
Unearthly Damage Sapphire +10% (Myth),Circle,170,Myth,+10 Ice Damage
Unearthly Damage Ruby +10% (Myth),Circle,170,Myth,+10 Fire Damage
Unearthly Damage Peridot +10% (Myth),Circle,170,Myth,+10 Myth Damage
Unearthly Damage Onyx +10% (Myth),Circle,170,Myth,+10 Death Damage
Unearthly Damage Jade +10% (Myth),Circle,170,Myth,+10 Life Damage
Unearthly Damage Citrine +10% (Myth),Circle,170,Myth,+10 Balance Damage
Unearthly Damage Amethyst +10% (Myth),Circle,170,Myth,+10 Storm Damage
Unearthly Critical Sapphire +51 (Myth),Circle,170,Myth,+51 Ice Critical Rating
Unearthly Critical Ruby +51 (Myth),Circle,170,Myth,+51 Fire Critical Rating
Unearthly Critical Peridot +51 (Myth),Circle,170,Myth,+51 Myth Critical Rating
Unearthly Critical Onyx +51 (Myth),Circle,170,Myth,+51 Death Critical Rating
Unearthly Critical Jade +51 (Myth),Circle,170,Myth,+51 Life Critical Rating
Unearthly Critical Citrine +51 (Myth),Circle,170,Myth,+51 Balance Critical Rating
Unearthly Critical Amethyst +51 (Myth),Circle,170,Myth,+51 Storm Critical Rating
Unearthly Blocking Peridot +49,Square,170,Myth,+49 Global Critical Block Rating
Unearthly Health Amethyst +525,Square,170,Storm,+525 Health
Unearthly Damage Sapphire +11% (Storm),Circle,170,Storm,+11 Ice Damage
Unearthly Damage Ruby +11% (Storm),Circle,170,Storm,+11 Fire Damage
Unearthly Damage Peridot +11% (Storm),Circle,170,Storm,+11 Myth Damage
Unearthly Damage Onyx +11% (Storm),Circle,170,Storm,+11 Death Damage
Unearthly Damage Jade +11% (Storm),Circle,170,Storm,+11 Life Damage
Unearthly Damage Citrine +11% (Storm),Circle,170,Storm,+11 Balance Damage
Unearthly Damage Amethyst +11% (Storm),Circle,170,Storm,+11 Storm Damage
Unearthly Critical Sapphire +54 (Storm),Circle,170,Storm,+54 Ice Critical Rating
Unearthly Critical Ruby +54 (Storm),Circle,170,Storm,+54 Fire Critical Rating
Unearthly Critical Peridot +54 (Storm),Circle,170,Storm,+54 Myth Critical Rating
Unearthly Critical Onyx +54 (Storm),Circle,170,Storm,+54 Death Critical Rating
Unearthly Critical Jade +54 (Storm),Circle,170,Storm,+54 Life Critical Rating
Unearthly Critical Citrine +54 (Storm),Circle,170,Storm,+54 Balance Critical Rating
Unearthly Critical Amethyst +54 (Storm),Circle,170,Storm,+54 Storm Critical Rating
Unearthly Blocking Amethyst +44,Square,170,Storm,+44 Global Critical Block Rating
Tree of Strife Amethyst,Triangle,155,Any,Gives 1 Tree of Strife Item Card
Starspawn Jade,Triangle,155,Any,Gives 1 Starspawn Item Card
Scales of Destiny Citrine,Triangle,155,Any,Gives 1 Scales of Destiny Item Card
Improbable Gaze Peridot,Triangle,155,Any,Gives 1 Improbable Gaze Item Card
Gravestorm Onyx,Triangle,155,Any,Gives 1 Gravestorm Item Card
Glimpse of Infinity Ruby,Triangle,155,Any,Gives 1 Glimpse of Infinity Item Card
Flawless Mending Opal +8%,Circle,155,Any,+8 Outgoing Healing
Flawless Mana Opal +64,Tear,155,Any,+64 Mana
Flawless Mana Opal +63,Tear,155,Any,+63 Mana
Flawless Mana Opal +62,Tear,155,Any,+62 Mana
Flawless Mana Opal +61,Tear,155,Any,+61 Mana
Flawless Health Opal +155,Tear,155,Any,+155 Health
Flawless Health Opal +154,Tear,155,Any,+154 Health
Flawless Health Opal +153,Tear,155,Any,+153 Health
Flawless Health Opal +152,Tear,155,Any,+152 Health
Flawless Health Opal +151,Tear,155,Any,+151 Health
Flawless Health Opal +150,Tear,155,Any,+150 Health
Flawless Health Opal +149,Tear,155,Any,+149 Health
Flawless Health Opal +148,Tear,155,Any,+148 Health
Flawless Health Opal +147,Tear,155,Any,+147 Health
Flawless Health Opal +146,Tear,155,Any,+146 Health
Flawless Defense Sapphire +68,Square,155,Any,+68 Ice Flat Resistance
Flawless Defense Sapphire +67,Square,155,Any,+67 Ice Flat Resistance
Flawless Defense Ruby +68,Square,155,Any,+68 Fire Flat Resistance
Flawless Defense Ruby +67,Square,155,Any,+67 Fire Flat Resistance
Flawless Defense Peridot +68,Square,155,Any,+68 Myth Flat Resistance
Flawless Defense Peridot +67,Square,155,Any,+67 Myth Flat Resistance
Flawless Defense Opal +34,Square,155,Any,+34 Global Flat Resistance
Flawless Defense Opal +33,Square,155,Any,+33 Global Flat Resistance
Flawless Defense Onyx +68,Square,155,Any,+68 Death Flat Resistance
Flawless Defense Onyx +67,Square,155,Any,+67 Death Flat Resistance
Flawless Defense Jade +68,Square,155,Any,+68 Life Flat Resistance
Flawless Defense Jade +67,Square,155,Any,+67 Life Flat Resistance
Flawless Defense Citrine +68,Square,155,Any,+68 Balance Flat Resistance
Flawless Defense Amethyst +68,Square,155,Any,+68 Storm Flat Resistance
Flawless Defense Amethyst +67,Square,155,Any,+67 Storm Flat Resistance
Flawless Damage Sapphire +34,Circle,155,Any,+34 Ice Flat Damage
Flawless Damage Sapphire +33,Circle,155,Any,+33 Ice Flat Damage
Flawless Damage Ruby +34,Circle,155,Any,+34 Fire Flat Damage
Flawless Damage Ruby +33,Circle,155,Any,+33 Fire Flat Damage
Flawless Damage Peridot +34,Circle,155,Any,+34 Myth Flat Damage
Flawless Damage Peridot +33,Circle,155,Any,+33 Myth Flat Damage
Flawless Damage Onyx +34,Circle,155,Any,+34 Death Flat Damage
Flawless Damage Onyx +33,Circle,155,Any,+33 Death Flat Damage
Flawless Damage Jade +34,Circle,155,Any,+34 Life Flat Damage
Flawless Damage Jade +33,Circle,155,Any,+33 Life Flat Damage
Flawless Damage Citrine +34,Circle,155,Any,+34 Balance Flat Damage
Flawless Damage Citrine +33,Circle,155,Any,+33 Balance Flat Damage
Flawless Damage Amethyst +34,Circle,155,Any,+34 Storm Flat Damage
Flawless Damage Amethyst +33,Circle,155,Any,+33 Storm Flat Damage
Flawless Critical Sapphire +24,Circle,155,Any,+24 Ice Critical Rating
Flawless Critical Sapphire +23,Circle,155,Any,+23 Ice Critical Rating
Flawless Critical Ruby +24,Circle,155,Any,+24 Fire Critical Rating
Flawless Critical Ruby +23,Circle,155,Any,+23 Fire Critical Rating
Flawless Critical Peridot +24,Circle,155,Any,+24 Myth Critical Rating
Flawless Critical Peridot +23,Circle,155,Any,+23 Myth Critical Rating
Flawless Critical Onyx +24,Circle,155,Any,+24 Death Critical Rating
Flawless Critical Onyx +23,Circle,155,Any,+23 Death Critical Rating
Flawless Critical Jade +24,Circle,155,Any,+24 Life Critical Rating
Flawless Critical Jade +23,Circle,155,Any,+23 Life Critical Rating
Flawless Critical Citrine +24,Circle,155,Any,+24 Balance Critical Rating
Flawless Critical Citrine +23,Circle,155,Any,+23 Balance Critical Rating
Flawless Critical Amethyst +24,Circle,155,Any,+24 Storm Critical Rating
Flawless Critical Amethyst +23,Circle,155,Any,+23 Storm Critical Rating
Flawless Blocking Sapphire +24,Square,155,Any,+24 Ice Critical Block Rating
Flawless Blocking Sapphire +23,Square,155,Any,+23 Ice Critical Block Rating
Flawless Blocking Ruby +24,Square,155,Any,+24 Fire Critical Block Rating
Flawless Blocking Ruby +23,Square,155,Any,+23 Fire Critical Block Rating
Flawless Blocking Peridot +24,Square,155,Any,+24 Myth Critical Block Rating
Flawless Blocking Peridot +23,Square,155,Any,+23 Myth Critical Block Rating
Flawless Blocking Opal +12,Square,155,Any,+12 Global Critical Block Rating
Flawless Blocking Onyx +24,Square,155,Any,+24 Death Critical Block Rating
Flawless Blocking Onyx +23,Square,155,Any,+23 Death Critical Block Rating
Flawless Blocking Jade +24,Square,155,Any,+24 Life Critical Block Rating
Flawless Blocking Jade +23,Square,155,Any,+23 Life Critical Block Rating
Flawless Blocking Citrine +24,Square,155,Any,+24 Balance Critical Block Rating
Flawless Blocking Citrine +23,Square,155,Any,+23 Balance Critical Block Rating
Flawless Blocking Amethyst +24,Square,155,Any,+24 Storm Critical Block Rating
Flawless Blocking Amethyst +23,Square,155,Any,+23 Storm Critical Block Rating
Flawless Archmastery Opal +15 (Tear),Tear,155,Any,+15 Archmastery Rating
Flawless Archmastery Opal +15 (Square),Square,155,Any,+15 Archmastery Rating
Flawless Accurate Sapphire +16%,Triangle,155,Any,+16 Ice Accuracy
Flawless Accurate Ruby +16%,Triangle,155,Any,+16 Fire Accuracy
Flawless Accurate Peridot +16%,Triangle,155,Any,+16 Myth Accuracy
Flawless Accurate Onyx +16%,Triangle,155,Any,+16 Death Accuracy
Flawless Accurate Jade +16%,Triangle,155,Any,+16 Life Accuracy
Flawless Accurate Citrine +16%,Triangle,155,Any,+16 Balance Accuracy
Flawless Accurate Amethyst +16%,Triangle,155,Any,+16 Storm Accuracy
Deathly Depths Sapphire,Triangle,155,Any,Gives 1 Deathly Depths Item Card
The Bantam Jade,Triangle,145,Any,Gives 1 The Bantam Item Card
Solomon Crane Onyx,Triangle,145,Any,Gives 1 Solomon Crane Item Card
Quartermane Citrine,Triangle,145,Any,Gives 1 Quartermane Item Card
Mandar Peridot,Triangle,145,Any,Gives 1 Mandar Item Card
Duck Savage Sapphire,Triangle,145,Any,Gives 1 Duck Savage Item Card
Dog Tracy Amethyst,Triangle,145,Any,Gives 1 Dog Tracy Item Card
Buck Gordon Ruby,Triangle,145,Any,Gives 1 Buck Gordon Item Card
Amazing PIP Hematite +3,Triangle,145,Any,+3 Shadow Pip Rating
Amazing Mana Opal +60,Tear,145,Any,+60 Mana
Amazing Mana Opal +59,Tear,145,Any,+59 Mana
Amazing Mana Opal +58,Tear,145,Any,+58 Mana
Amazing Mana Opal +57,Tear,145,Any,+57 Mana
Amazing Health Opal +145,Tear,145,Any,+145 Health
Amazing Health Opal +144,Tear,145,Any,+144 Health
Amazing Health Opal +143,Tear,145,Any,+143 Health
Amazing Health Opal +142,Tear,145,Any,+142 Health
Amazing Health Opal +141,Tear,145,Any,+141 Health
Amazing Health Opal +140,Tear,145,Any,+140 Health
Amazing Health Opal +139,Tear,145,Any,+139 Health
Amazing Health Opal +138,Tear,145,Any,+138 Health
Amazing Health Opal +137,Tear,145,Any,+137 Health
Amazing Health Opal +136,Tear,145,Any,+136 Health
Amazing Defense Sapphire +64,Square,145,Any,+64 Ice Flat Resistance
Amazing Defense Sapphire +63,Square,145,Any,+63 Ice Flat Resistance
Amazing Defense Ruby +64,Square,145,Any,+64 Fire Flat Resistance
Amazing Defense Ruby +63,Square,145,Any,+63 Fire Flat Resistance
Amazing Defense Peridot +64,Square,145,Any,+64 Myth Flat Resistance
Amazing Defense Peridot +63,Square,145,Any,+63 Myth Flat Resistance
Amazing Defense Peridot +62,Square,145,Any,+62 Myth Flat Resistance
Amazing Defense Opal +32,Square,145,Any,+32 Global Flat Resistance
Amazing Defense Opal +31,Square,145,Any,+31 Global Flat Resistance
Amazing Defense Onyx +64,Square,145,Any,+65 Death Flat Resistance
Amazing Defense Onyx +63,Square,145,Any,+64 Death Flat Resistance
Amazing Defense Onyx +62,Square,145,Any,+63 Death Flat Resistance
Amazing Defense Onyx +61,Square,145,Any,+62 Death Flat Resistance
Amazing Defense Jade +64,Square,145,Any,+64 Life Flat Resistance
Amazing Defense Jade +63,Square,145,Any,+63 Life Flat Resistance
Amazing Defense Jade +61,Square,145,Any,+62 Life Flat Resistance
Amazing Defense Hematite +64,Square,145,Any,+64 Shadow Flat Resistance
Amazing Defense Hematite +63,Square,145,Any,+63 Shadow Flat Resistance
Amazing Defense Citrine +64,Square,145,Any,+64 Balance Flat Resistance
Amazing Defense Citrine +63,Square,145,Any,+63 Balance Flat Resistance
Amazing Defense Citrine +62,Square,145,Any,+62 Balance Flat Resistance
Amazing Defense Citrine +61,Square,145,Any,+61 Balance Flat Resistance
Amazing Defense Amethyst +64,Square,145,Any,+64 Storm Flat Resistance
Amazing Defense Amethyst +63,Square,145,Any,+63 Storm Flat Resistance
Amazing Defense Amethyst +62,Square,145,Any,+62 Storm Flat Resistance
Amazing Damage Sapphire +32,Circle,145,Any,+32 Ice Flat Damage
Amazing Damage Sapphire +31,Circle,145,Any,+31 Ice Flat Damage
Amazing Damage Ruby +32,Circle,145,Any,+32 Fire Flat Damage
Amazing Damage Ruby +31,Circle,145,Any,+31 Fire Flat Damage
Amazing Damage Peridot +32,Circle,145,Any,+32 Myth Flat Damage
Amazing Damage Peridot +31,Circle,145,Any,+31 Myth Flat Damage
Amazing Damage Opal +16,Circle,145,Any,+16 Global Flat Damage
Amazing Damage Onyx +32,Circle,145,Any,+32 Death Flat Damage
Amazing Damage Onyx +31,Circle,145,Any,+31 Death Flat Damage
Amazing Damage Jade +32,Circle,145,Any,+32 Life Flat Damage
Amazing Damage Jade +31,Circle,145,Any,+31 Life Flat Damage
Amazing Damage Hematite +64,Circle,145,Any,+64 Shadow Flat Damage
Amazing Damage Hematite +62,Circle,145,Any,+62 Shadow Flat Damage
Amazing Damage Citrine +32,Circle,145,Any,+32 Balance Flat Damage
Amazing Damage Citrine +31,Circle,145,Any,+31 Balance Flat Damage
Amazing Damage Amethyst +32,Circle,145,Any,+32 Storm Flat Damage
Amazing Damage Amethyst +31,Circle,145,Any,+31 Storm Flat Damage
Amazing Critical Sapphire +22,Circle,145,Any,+22 Ice Critical Rating
Amazing Critical Sapphire +21,Circle,145,Any,+21 Ice Critical Rating
Amazing Critical Ruby +22,Circle,145,Any,+22 Fire Critical Rating
Amazing Critical Ruby +21,Circle,145,Any,+21 Fire Critical Rating
Amazing Critical Peridot +22,Circle,145,Any,+22 Myth Critical Rating
Amazing Critical Peridot +21,Circle,145,Any,+21 Myth Critical Rating
Amazing Critical Onyx +22,Circle,145,Any,+22 Death Critical Rating
Amazing Critical Onyx +21,Circle,145,Any,+21 Death Critical Rating
Amazing Critical Jade +22,Circle,145,Any,+22 Life Critical Rating
Amazing Critical Jade +21,Circle,145,Any,+21 Life Critical Rating
Amazing Critical Hematite +22,Circle,145,Any,+22 Shadow Critical Rating
Amazing Critical Hematite +21,Circle,145,Any,+21 Shadow Critical Rating
Amazing Critical Citrine +22,Circle,145,Any,+22 Balance Critical Rating
Amazing Critical Citrine +21,Circle,145,Any,+21 Balance Critical Rating
Amazing Critical Amethyst +22,Circle,145,Any,+22 Storm Critical Rating
Amazing Critical Amethyst +21,Circle,145,Any,+21 Storm Critical Rating
Amazing Blocking Sapphire +22,Square,145,Any,+22 Ice Critical Block Rating
Amazing Blocking Sapphire +21,Square,145,Any,+21 Ice Critical Block Rating
Amazing Blocking Ruby +22,Square,145,Any,+21 Fire Critical Block Rating
Amazing Blocking Ruby +21,Square,145,Any,+22 Fire Critical Block Rating
Amazing Blocking Peridot +22,Square,145,Any,+22 Myth Critical Block Rating
Amazing Blocking Peridot +21,Square,145,Any,+21 Myth Critical Block Rating
Amazing Blocking Opal +11,Square,145,Any,+11 Global Critical Block Rating
Amazing Blocking Onyx +22,Square,145,Any,+22 Death Critical Block Rating
Amazing Blocking Onyx +21,Square,145,Any,+21 Death Critical Block Rating
Amazing Blocking Jade +22,Square,145,Any,+22 Life Critical Block Rating
Amazing Blocking Jade +21,Square,145,Any,+21 Life Critical Block Rating
Amazing Blocking Hematite +22,Square,145,Any,+22 Shadow Critical Block Rating
Amazing Blocking Hematite +21,Square,145,Any,+21 Shadow Critical Block Rating
Amazing Blocking Citrine +22,Square,145,Any,+22 Balance Critical Block Rating
Amazing Blocking Citrine +21,Square,145,Any,+21 Balance Critical Block Rating
Amazing Blocking Amethyst +22,Square,145,Any,+22 Storm Critical Block Rating
Amazing Blocking Amethyst +21,Square,145,Any,+21 Storm Critical Block Rating
Amazing Archmastery Opal +14 (Tear),Tear,145,Any,+14 Archmastery Rating
Amazing Archmastery Opal +14 (Square),Square,145,Any,+14 Archmastery Rating
Amazing Accurate Sapphire +15%,Triangle,145,Any,+15 Ice Accuracy
Amazing Accurate Ruby +15%,Triangle,145,Any,+15 Fire Accuracy
Amazing Accurate Peridot +15%,Triangle,145,Any,+15 Myth Accuracy
Amazing Accurate Onyx +15%,Triangle,145,Any,+15 Death Accuracy
Amazing Accurate Jade +15%,Triangle,145,Any,+15 Life Accuracy
Amazing Accurate Hematite +15%,Triangle,145,Any,+15 Shadow Accuracy
Amazing Accurate Citrine +15%,Triangle,145,Any,+15 Balance Accuracy
Amazing Accurate Amethyst +15%,Triangle,145,Any,+15 Storm Accuracy
Savage Paw Citrine,Triangle,135,Any,Gives 1 Savage Paw Item Card
Ninja Pigs Peridot,Triangle,135,Any,Gives 1 Ninja Pigs Item Card
Lord of Night Onyx,Triangle,135,Any,Gives 1 Lord of Night Item Card
Krampus Revenant Ruby,Triangle,135,Any,Gives 1 Krampus Item Card
Handsome Fomori Sapphire,Triangle,135,Any,Gives 1 Handsome Fomori Item Card
Goat Monk Jade,Triangle,135,Any,Gives 1 Goat Monk Item Card
Dazzling Mending Opal +7%,Circle,135,Any,+7 Outgoing Healing
Dazzling Mana Opal +56,Tear,135,Any,+56 Mana
Dazzling Mana Opal +55,Tear,135,Any,+55 Mana
Dazzling Mana Opal +54,Tear,135,Any,+54 Mana
Dazzling Mana Opal +53,Tear,135,Any,+53 Mana
Dazzling Health Opal +135,Tear,135,Any,+135 Health
Dazzling Health Opal +134,Tear,135,Any,+134 Health
Dazzling Health Opal +133,Tear,135,Any,+133 Health
Dazzling Health Opal +132,Tear,135,Any,+132 Health
Dazzling Health Opal +131,Tear,135,Any,+131 Health
Dazzling Health Opal +130,Tear,135,Any,+130 Health
Dazzling Health Opal +129,Tear,135,Any,+129 Health
Dazzling Health Opal +128,Tear,135,Any,+128 Health
Dazzling Health Opal +127,Tear,135,Any,+127 Health
Dazzling Health Opal +126,Tear,135,Any,+126 Health
Dazzling Healing Opal +7%,Square,135,Any,+7 Incoming Healing
Dazzling Defense Sapphire +60,Square,135,Any,+60 Ice Flat Resistance
Dazzling Defense Sapphire +59,Square,135,Any,+59 Ice Flat Resistance
Dazzling Defense Sapphire +58,Square,135,Any,+58 Ice Flat Resistance
Dazzling Defense Sapphire +57,Square,135,Any,+57 Ice Flat Resistance
Dazzling Defense Ruby +60,Square,135,Any,+60 Fire Flat Resistance
Dazzling Defense Ruby +59,Square,135,Any,+59 Fire Flat Resistance
Dazzling Defense Ruby +58,Square,135,Any,+58 Fire Flat Resistance
Dazzling Defense Ruby +57,Square,135,Any,+57 Fire Flat Resistance
Dazzling Defense Peridot +60,Square,135,Any,+60 Myth Flat Resistance
Dazzling Defense Peridot +59,Square,135,Any,+59 Myth Flat Resistance
Dazzling Defense Peridot +58,Square,135,Any,+58 Myth Flat Resistance
Dazzling Defense Peridot +57,Square,135,Any,+57 Myth Flat Resistance
Dazzling Defense Opal +30,Square,135,Any,+30 Global Flat Resistance
Dazzling Defense Opal +29,Square,135,Any,+29 Global Flat Resistance
Dazzling Defense Onyx +60,Square,135,Any,+60 Death Flat Resistance
Dazzling Defense Onyx +59,Square,135,Any,+59 Death Flat Resistance
Dazzling Defense Onyx +58,Square,135,Any,+58 Death Flat Resistance
