Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Supreme Eruption Staff,148,0,26,0,0,0,83,0,7,0,0,0,0,19,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Blazing Skyfarer's Kris (Level 160+),160,0,26,0,4,0,113,64,0,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 160+),160,0,26,0,4,0,113,64,0,0,0,0,169,17,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Blazing Skyfarer's Kris (Level 150+),150,0,26,0,4,0,106,61,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Morganthe's Fiery Staff (Level 150+),150,0,26,0,4,0,106,62,0,0,0,0,260,16,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 150+),150,0,26,0,4,0,106,61,0,0,0,0,156,16,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Hierarch's Volcanic Staff,145,0,26,0,0,0,75,0,0,0,0,0,214,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fire Fairy Kei Parasol (Level 130+),130,0,25,0,3,0,115,65,8,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Primordial Masterpiece Sword,160,0,25,0,0,0,0,64,8,0,0,0,197,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fiery Night Mire Staff (Level 140+),140,0,25,0,4,0,103,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Hierarch's Eruption Staff,145,0,25,0,0,0,79,0,7,0,0,0,0,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Illuminated Archival Quill (Level 140+),140,0,25,0,4,0,44,75,7,0,0,0,144,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Blazing Skyfarer's Kris (Level 140+),140,0,25,0,4,0,103,60,0,0,0,0,0,14,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Morganthe's Fiery Staff (Level 140+),140,0,25,0,4,0,103,60,0,0,0,0,240,14,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 140+),140,0,25,0,4,0,103,60,0,0,0,0,144,14,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Malevolent Fire Wand,150,0,25,0,0,0,81,0,0,0,0,0,199,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Lemurian Volcanic Staff,142,0,25,0,0,0,70,0,0,0,0,0,196,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Supreme Firewall Staff,148,0,25,0,0,0,70,77,0,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fiery Blazing Naginata (Level 170+),170,0,24,0,3,0,145,78,14,0,0,0,0,21,0,2,0,0,0,0,1,0,0,0,Gold Key/Gauntlet,False,None
Daemonic Staff of Overheating,170,0,24,0,4,0,145,78,14,0,0,0,213,0,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Flaming Longbow (Level 170+),170,0,24,0,3,0,145,78,14,0,0,0,0,21,0,2,0,0,0,0,1,0,0,0,Gold Key/Gauntlet,False,None
Glistening Fire Saber,155,0,24,0,0,0,0,62,7,0,0,0,189,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Unreal Staff of Overheating,170,0,24,0,4,0,109,88,0,0,0,0,182,19,0,2,0,0,0,0,0,0,0,1,Raid,False,None
Delightful Freshbaker Staff,140,0,24,0,0,0,78,0,0,0,0,0,177,18,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Uber Freshbaker Staff,140,0,24,0,0,0,78,0,0,0,0,0,177,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Director Thermal Meter,138,0,24,0,0,0,72,0,0,0,0,0,214,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Nullity's Blazing Blade,160,0,23,0,4,0,129,64,11,0,0,0,197,0,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Nullity's Burning Blade,160,0,23,0,4,0,0,64,11,0,0,0,197,0,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Nullity's Fiery Blade (Level 160+),160,0,23,0,4,0,0,64,11,0,0,0,197,0,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Nullity's Fiery Blade (Level 150+),150,0,23,0,4,0,0,62,11,0,0,0,182,0,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Furious Protector's Gavel,165,0,23,0,0,0,103,62,8,0,0,0,176,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fiery Night Mire Staff (Level 130+),130,0,23,0,4,0,101,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Illuminated Archival Quill (Level 130+),130,0,23,0,4,0,43,72,7,0,0,0,142,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Flashy Townie Cane,160,0,23,0,0,0,0,56,7,0,0,0,169,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Executive Thermal Meter,138,0,23,0,0,0,76,0,6,0,0,0,0,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Lemurian Eruption Staff,142,0,23,0,0,0,75,0,6,0,0,0,0,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Cavalry Officer Bayonet,150,0,23,0,0,0,0,61,6,0,0,0,182,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Eternal Primordial Sword,160,0,23,0,3,0,129,0,0,0,0,0,253,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Primeval Sword,160,0,23,0,3,0,129,0,0,0,0,0,253,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Primal Sword,160,0,23,0,3,0,129,0,0,0,0,0,253,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Great Inventor's Fire Scanner (Level 160+),160,0,23,0,3,0,129,0,0,0,0,0,253,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
The Void's Burning Blade,160,0,23,0,4,0,129,72,0,0,0,0,225,17,0,2,0,0,0,0,0,0,1,0,Raid,False,None
The Void's Fiery Blade (Level 160+),160,0,23,0,4,0,129,72,0,0,0,0,225,17,0,2,0,0,0,0,0,0,1,0,Raid,False,None
The Void's Blazing Blade,160,0,23,0,4,0,129,72,0,0,0,0,225,17,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Great Inventor's Fire Scanner (Level 150+),150,0,23,0,3,0,121,0,0,0,0,0,234,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Highlands Fighter's Staff (Level 150+),150,0,23,0,3,0,121,0,0,0,0,0,234,0,0,2,0,0,1,0,0,0,0,0,Gold Key/Gauntlet,False,None
The Void's Fiery Blade (Level 150+),150,0,23,0,4,0,121,70,0,0,0,0,208,16,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Blazing Skyfarer's Kris (Level 130+),130,0,23,0,4,0,101,58,0,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Morganthe's Fiery Staff (Level 130+),130,0,23,0,4,0,101,58,0,0,0,0,236,13,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 130+),130,0,23,0,4,0,101,58,0,0,0,0,142,13,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Magician's Fire Wand,150,0,23,0,0,0,79,0,0,0,0,0,194,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Hierarch's Firewall Staff,145,0,23,0,0,0,75,73,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Wunderbar Freshbaker Staff,140,0,23,0,0,0,75,0,0,0,0,0,170,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Lead's Thermal Meter,135,0,23,0,0,0,65,0,0,0,0,0,197,16,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fiery Blazing Naginata (Level 140+),140,0,22,0,3,0,117,60,10,0,0,0,0,16,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Illuminated Archival Quill (Level 120+),120,0,22,0,4,0,42,72,6,0,0,0,122,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Toasted Marshmallow,140,0,22,0,0,0,69,0,5,0,0,0,213,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Ignus' Focused Torchstaff,125,0,22,0,0,0,45,0,5,0,0,0,235,0,0,2,0,0,2,0,0,0,0,0,Crafting,False,None
Great Inventor's Fire Scanner (Level 140+),140,0,22,0,3,0,117,0,0,0,0,0,216,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Highlands Fighter's Staff (Level 140+),140,0,22,0,3,0,117,0,0,0,0,0,216,0,0,2,0,0,1,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 120+),120,0,22,0,4,0,97,58,0,0,0,0,122,12,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Dragoon's Fiery Sword,130,0,22,0,0,0,81,0,0,0,0,0,265,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,Dragoon's Fiery Set
Guten Freshbaker Staff,140,0,22,0,0,0,74,0,0,0,0,0,165,16,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Alphoi Trooper Glaive,130,0,22,0,0,0,72,0,0,0,0,0,114,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Fiery Paradox Defenders,130,0,22,0,0,0,72,0,0,0,0,0,114,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Lemurian Firewall Staff,142,0,22,0,0,0,70,70,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Grim Cerberus Master Wand (Level 140+),140,0,21,0,0,0,102,0,6,0,0,0,0,14,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Fiery Night Mire Staff (Level 120+),120,0,21,0,4,0,97,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Chief's Thermal Meter,135,0,21,0,0,0,69,0,6,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Golden Fire Saber,155,0,21,0,0,0,0,55,6,0,0,0,162,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Vanguard's Fiery Sword,130,0,21,0,0,0,79,0,0,0,0,0,260,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Blazing Zanadu Lance,130,0,21,0,0,0,67,0,0,0,0,0,112,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Producer's Thermal Meter,138,0,21,0,0,0,64,70,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Radical Photon Foil,140,0,21,0,0,0,61,0,0,0,0,0,165,15,0,2,0,0,1,0,0,0,0,0,Drop/Vendor,False,None
Specialist Thermal Meter,132,0,21,0,0,0,59,0,0,0,0,0,180,16,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fiery Blazing Naginata (Level 130+),130,0,20,0,3,0,115,58,10,0,0,0,0,15,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Pyromancer's Mystic Sphere (Level 160+),160,0,20,0,0,0,113,0,10,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Gold Key/Gauntlet,False,None
Pyromancer's Mystic Sphere (Level 150+),150,0,20,0,0,0,106,0,10,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Fiery Blazing Naginata (Level 120+),120,0,20,0,3,0,111,58,9,0,0,0,0,13,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Fire Fairy Kei Parasol (Level 100+),100,0,20,0,0,0,108,63,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Consultant Thermal Meter,132,0,20,0,0,0,63,0,6,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Illuminated Archival Quill (Level 110+),110,0,20,0,4,0,42,69,5,0,0,0,110,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Ignus' Legendary Torchstaff,115,0,20,0,0,0,35,0,5,0,0,0,125,0,0,2,0,0,1,0,0,0,0,0,Crafting,False,None
Regulation Cavalry Bayonet,150,0,20,0,0,0,0,53,5,0,0,0,156,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Wastelander's Scorched Crusher (Level 110+),110,0,20,0,4,0,97,56,0,0,0,0,110,11,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Sycorax's Wildfire Crook,130,0,20,0,0,0,77,0,0,0,0,0,117,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Soldier's Fiery Blade,130,0,20,0,0,0,76,0,0,0,0,0,255,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Supervisor Thermal Meter,135,0,20,0,0,0,65,64,0,0,0,0,0,15,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Nostalgic Cabal Banner,125,0,20,0,0,0,64,0,0,0,0,0,108,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fiery Liaison's Sword,130,0,20,0,0,0,54,0,0,0,0,0,165,15,0,2,0,0,1,0,0,0,0,0,Drop/Vendor,False,None
Sword and Shield of Embers,100,0,19,0,0,0,108,63,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fiery Night Mire Staff (Level 110+),110,0,19,0,4,0,97,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Rad Kalakrys,127,0,19,0,0,0,0,0,4,0,0,0,192,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Highlands Fighter's Staff (Level 120+),120,0,19,0,3,0,111,0,0,0,0,0,182,0,0,2,0,0,1,0,0,0,0,0,Crowns,False,None
Great Inventor's Fire Scanner (Level 120+),120,0,19,0,3,0,111,0,0,0,0,0,182,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Morganthe's Fiery Staff (Level 110+),110,0,19,0,4,0,97,56,0,0,0,0,183,11,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Shimmering Majoris Artifact,110,0,19,0,0,0,61,58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Contractor Thermal Meter,132,0,19,0,0,0,59,58,0,0,0,0,0,15,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fervid Dream Stalker Boomerang,170,0,18,0,3,0,0,97,12,0,0,0,152,17,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Pyromancer's Mystic Sphere (Level 130+),130,0,18,0,0,0,101,0,9,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Fiery Blazing Naginata (Level 110+),110,0,18,0,3,0,111,56,8,0,0,0,0,12,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Fire Fairy Kei Parasol (Level 90+),90,0,18,0,0,0,100,45,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Armaments of Embers,100,0,18,0,0,0,95,56,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fiery Night Mire Staff (Level 100+),100,0,18,0,0,0,95,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Grim Cerberus Master Wand (Level 100+),100,0,18,0,0,0,95,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Illuminated Archival Quill (Level 100+),100,0,18,0,0,0,95,69,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Gold Key/Gauntlet,False,None
Engineer's Hexacorder,122,0,18,0,0,0,0,0,4,0,0,0,184,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Highlands Fighter's Staff (Level 130+),130,0,18,0,0,0,114,0,0,0,0,0,212,11,0,2,0,0,1,0,0,0,0,0,Crowns,False,None
Morganthe's Fiery Staff (Level 120+),120,0,18,0,3,0,97,58,0,0,0,0,202,11,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Blazing Skyfarer's Kris (Level 100+),100,0,18,0,4,0,95,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Morganthe's Fiery Staff (Level 100+),100,0,18,0,4,0,95,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 100+),100,0,18,0,4,0,95,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Time Warden Kilij of Pyres,120,0,18,0,0,0,61,0,0,0,0,0,100,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Titan Warrior Skyfire Relic,110,0,18,0,0,0,57,54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Pyromancer's Mystic Sphere (Level 120+),120,0,17,0,0,0,97,0,8,0,0,0,0,12,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Luphilim's Blazing Saber,110,0,17,0,0,0,60,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Great Inventor's Fire Scanner (Level 110+),110,0,17,0,3,0,111,0,0,0,0,0,165,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Highlands Fighter's Staff (Level 110+),110,0,17,0,3,0,111,0,0,0,0,0,165,0,0,2,0,0,1,0,0,0,0,0,Crowns,False,None
Volatile Borealis Remnant,110,0,17,0,0,0,53,50,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fiery Night Mire Staff (Level 90+),90,0,16,0,0,0,88,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Grim Cerberus Master Wand (Level 90+),90,0,16,0,0,0,88,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Illuminated Archival Quill (Level 90+),90,0,16,0,0,0,88,49,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Scorpion Bow of Frenzy,118,0,16,0,0,0,0,0,4,0,0,0,177,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Morganthe's Fiery Staff (Level 90+),90,0,16,0,3,0,88,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 90+),90,0,16,0,3,0,88,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Eternal Flame Hexacorder,120,0,16,0,0,0,0,47,0,0,0,0,177,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Pyromancer's Mystic Sphere (Level 110+),110,0,15,0,0,0,97,0,7,0,0,0,0,11,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Fire Fairy Kei Parasol (Level 80+),80,0,15,0,0,0,89,37,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Fire Fairy Kei Parasol (Level 70+),70,0,15,0,0,0,66,36,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Burning Sands of Alkali Bow,114,0,15,0,0,0,0,0,4,0,0,0,170,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Rubal Bow of Conflagration,116,0,15,0,0,0,0,0,4,0,0,0,174,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Pyromancer's Mystic Sphere (Level 100+),100,0,14,0,0,0,95,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Gold Key/Gauntlet,False,None
Fiery Night Mire Staff (Level 80+),80,0,14,0,0,0,78,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Illuminated Archival Quill (Level 80+),80,0,14,0,0,0,78,41,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Grim Cerberus Master Wand (Level 80+),80,0,14,0,0,0,78,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Arcanum Pyromancer's Stave,108,0,14,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Purrzian Sunfire Bow,112,0,14,0,0,0,0,0,4,0,0,0,167,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Blazing Skyfarer's Kris (Level 80+),80,0,14,0,3,0,78,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Morganthe's Fiery Staff (Level 80+),80,0,14,0,3,0,78,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 80+),80,0,14,0,3,0,78,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Fiery Night Mire Staff (Level 70+),70,0,13,0,0,0,58,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Illuminated Archival Quill (Level 70+),70,0,13,0,0,0,58,40,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Grim Cerberus Master Wand (Level 70+),70,0,13,0,0,0,58,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Illuminated Archival Quill (Level 60+),60,0,13,0,0,0,55,40,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Dean Darkflame's Cleaver,50,0,13,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Evoker's Ember Bodkin,104,0,13,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Enchanter's Fervid Wand,106,0,13,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Illuminated Archival Quill (Level 50+),50,0,13,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Gold Key/Gauntlet,False,None
Fire Fairy Kei Parasol (Level 40+),40,0,13,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Blazing Skyfarer's Kris (Level 70+),70,0,13,0,3,0,58,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Morganthe's Fiery Staff (Level 70+),70,0,13,0,3,0,58,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 70+),70,0,13,0,3,0,58,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 60+),60,0,13,0,3,0,55,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Scorched Crusher (Level 50+),50,0,13,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Pyromancer's Mystic Sphere (Level 90+),90,0,12,0,0,0,88,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
Fiery Night Mire Staff (Level 60+),60,0,12,0,0,0,55,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Crowns,False,None
