Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Sword Pins,Shield Pins,Power Pins,Source,Gear Set,Usable In,Pins Used
Burrower's Necromancy Boots (Level 160+),160,Death,968,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,14,14,14,25,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,91,0,0,104,0,0,168,168,168,168,168,168,168,168,168,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,1,1,1,"Gold Key, Crowns",No Gear Set,Everything,(SwdCsh)(ShdRes)(PwrAcc)
Deadly August Sage Shoes (Level 170+),170,Death,1024,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,133,0,0,137,137,137,137,137,137,137,137,137,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Dragoon's Deadly Boots,130,Death,1075,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Deadly Set,Everything,(No Pins)
Eternal Macabre Boots,160,Death,968,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,102,89,0,0,168,168,168,168,168,168,168,168,168,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,1,1,1,Crafting,No Gear Set,Everything,(SwdCsh)(ShdRes)(PwrAcc)
Fell Dream Reaver Boots,170,Death,1152,0,0,0,41,0,0,43,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,193,0,0,133,0,0,159,159,159,159,159,159,159,159,159,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(PwrAcc)
Fell Dream Stalker Boots,170,Death,1024,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,25,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,1,1,1,Crafting,No Gear Set,Everything,(ShdRes)(PwrAcc)
Malevolent Death Boots,150,Death,1018,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Mysterious Jade Boots (Level 110+),110,Death,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Ominous Skyfarer's Boots (Level 160+),160,Death,726,0,0,0,40,0,0,38,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,2,0,1,Crowns,No Gear Set,Everything,(SwdPun)(SwdPun)(PwrAcc)
Uber Sentamentalist Boots,140,Death,960,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Delightful Freshbaker Boots,140,Fire,938,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,Crafting,No Gear Set,Everything,(No Pins)
Dragoon's Fiery Boots,130,Fire,1051,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Fiery Set,Everything,(No Pins)
Fervid Dream Reaver Boots,170,Fire,1161,0,43,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,146,0,0,196,0,0,0,0,146,146,146,146,146,146,146,146,146,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(PwrAcc)
Fervid Dream Stalker Boots,170,Fire,1032,0,35,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,24,13,13,13,13,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,92,0,0,0,0,167,167,167,167,167,167,167,167,167,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,1,1,1,Crafting,No Gear Set,Everything,(SwdDis)(ShdRes)(PwrAcc)
Fiery Chrysanthemum Boots (Level 170+),170,Fire,1032,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,125,125,125,125,125,125,125,125,125,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Fire Fairy Kei Slippers (Level 170+),170,Fire,903,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,146,146,146,146,146,146,146,146,146,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,1,Crowns,No Gear Set,Everything,(No Pins)
Great Inventor's Fire Boots (Level 160+),160,Fire,920,0,34,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,22,12,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,98,0,0,0,0,0,0,0,153,153,153,153,153,153,153,153,153,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,1,1,1,Crowns,No Gear Set,Everything,(SwdPun)(ShdRes)(PwrAcc)
Illuminated Page Treaders (Level 170+),170,Fire,1290,0,39,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,21,11,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,128,0,0,0,0,0,0,0,167,167,167,167,167,167,167,167,167,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,"Housing Gauntlet, Crowns",No Gear Set,Everything,(SwdPun)(ShdRes)(PwrAcc)
Burrower's Conjuration Boots (Level 160+),160,Myth,912,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,147,147,147,147,147,147,147,147,147,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,1,1,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Delightful Artisan Boots,140,Myth,938,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,Crafting,No Gear Set,Everything,(No Pins)
Dragoon's Mythic Boots,130,Myth,1051,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Mythic Set,Everything,(No Pins)
Epic Page Treaders (Level 170+),170,Myth,1220,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,21,12,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,129,0,0,0,0,156,156,156,156,156,156,156,156,156,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,"Housing Gauntlet, Crowns",No Gear Set,Everything,(ShdRes)(PwrAcc)
Eternal Dreamscape Boots,160,Myth,912,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,101,0,0,0,0,147,147,147,147,147,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,1,1,1,Crafting,No Gear Set,Everything,(No Pins)
Fabled Dream Reaver Boots,170,Myth,1098,0,0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,222,0,147,0,0,0,0,137,137,137,137,137,137,137,137,137,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(PwrAcc)
Fabled Dream Stalker Boots,170,Myth,976,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,156,156,156,156,156,156,156,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,1,1,1,Crafting,No Gear Set,Everything,(No Pins)
Malevolent Myth Boots,150,Myth,996,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Mystic Chrysanthemum Boots (Level 170+),170,Myth,976,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,147,0,0,0,0,117,117,117,117,117,117,117,117,117,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Burrower's Divination Boots (Level 160+),160,Storm,891,0,0,0,38,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,22,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,107,0,0,0,137,137,137,137,137,137,137,137,137,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,1,1,1,"Gold Key, Crowns",No Gear Set,Everything,(SwdDis)(ShdRes)
Dragoon's Shocking Boots,130,Storm,1015,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Shocking Set,Everything,(No Pins)
Fierce Dream Reaver Boots,170,Storm,1035,0,0,0,43,0,44,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,164,0,246,0,0,0,124,124,124,124,124,124,124,124,124,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)
Fierce Dream Stalker Boots,170,Storm,920,0,0,0,35,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,22,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,107,0,0,0,141,141,141,141,141,141,141,141,141,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,1,1,1,Crafting,No Gear Set,Everything,(SwdDis)(ShdRes)
Fraught Page Treaders (Level 170+),170,Storm,1149,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,144,0,0,0,0,0,141,141,141,141,141,141,141,141,141,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,"Housing Gauntlet, Crowns",No Gear Set,Everything,(No Pins)
Great Inventor's Storm Boots (Level 160+),160,Storm,891,0,0,0,34,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,22,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,108,0,107,0,0,0,137,137,137,137,137,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,1,1,1,Crowns,No Gear Set,Everything,(SwdDis)(ShdRes)
Lydia's Frozen Footwraps (Level 150+),150,Storm,1043,0,0,33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Malevolent Storm Boots,150,Storm,962,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Shocking August Sage Shoes (Level 170+),170,Storm,920,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,164,0,0,0,0,0,106,106,106,106,106,106,106,106,106,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Uber Sciencer Boots,140,Storm,907,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Wastelander's Shocked Boots (Level 170+),170,Storm,690,0,0,0,39,0,42,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,144,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,2,0,1,Crowns,No Gear Set,Everything,(SwdDis)(SwdDis)
