Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Sword Pins,Shield Pins,Power Pins,Source,Gear Set,Usable In,Pins Used
Jade Hood of Mystery (Level 100+),100,Balance,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Malevolent Balance Cap,150,Balance,764,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Masque of the Exalted One,100,Balance,504,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Baleful Hardback Helmet (Level 170+),170,Death,997,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,15,15,15,26,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,155,0,0,116,116,116,116,116,116,116,116,116,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,"Housing Gauntlet, Crowns",No Gear Set,Everything,(ShdRes)
Burrower's Necromancy Hood (Level 160+),160,Death,760,0,0,0,39,0,0,32,0,0,0,0,0,0,0,0,0,0,0,17,17,17,28,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,101,101,101,101,101,101,101,101,101,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,2,1,0,"Gold Key, Crowns",No Gear Set,Everything,(SwdPun)(SwdPun)(ShdRes)
Deadly August Sage Cap (Level 170+),170,Death,798,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,177,0,0,87,87,87,87,87,87,87,87,87,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Death Lord's Veil of Woe,100,Death,462,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Dragoon's Deadly Helm,130,Death,806,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Deadly Set,Everything,(No Pins)
Dworgyn's Havoc Hood (Level 150+),150,Death,782,0,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,155,0,0,83,83,83,83,83,83,83,83,83,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Eternal Macabre Helm,160,Death,760,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,17,17,17,29,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,204,122,0,0,101,101,101,101,101,101,101,101,101,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,2,1,0,Crafting,No Gear Set,Everything,(SwdCsh)(SwdCsh)(ShdRes)
Fell Dream Reaver Hood,170,Death,898,0,0,0,39,0,0,37,0,0,0,0,0,0,0,0,0,0,0,13,13,13,25,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,177,0,0,177,0,0,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Fell Dream Stalker Hood,170,Death,798,0,0,0,38,0,0,30,0,0,0,0,0,0,0,0,0,0,0,18,18,18,30,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,172,0,0,0,0,0,116,116,116,116,116,116,116,116,116,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,2,1,0,Crafting,No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Jade Hood of Mystery (Level 110+),110,Death,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Krokopatra Oblivion Fez,100,Death,487,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,One Shot Housing Gauntlet,No Gear Set,Everything,(No Pins)
Malevolent Death Cap,150,Death,764,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Uber Sentamentalist Cap,140,Death,720,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,315,0,0,0,Unavailable,No Gear Set,Everything,(No Pins)
Avatar's Crown of Wrath,170,Fire,898,0,36,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,20,9,9,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,188,0,0,196,0,0,0,0,94,94,94,94,94,94,94,94,94,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,"Drop, Crafting",No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Blazing Skyfarer's Douli Hat (Level 160+),160,Fire,519,0,32,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,150,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,2,0,1,Crowns,No Gear Set,Everything,(SwdDis)(SwdDis)(PwrAcc)
Delightful Freshbaker Cap,140,Fire,704,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,315,0,0,0,Crafting,No Gear Set,Everything,(No Pins)
Dragoon's Fiery Helm,130,Fire,788,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Fiery Set,Everything,(No Pins)
Dworgyn's Havoc Hood (Level 150+),150,Fire,782,0,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,155,0,0,83,83,83,83,83,83,83,83,83,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Eternal Primordial Helm,160,Fire,692,0,28,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,22,11,11,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,93,93,93,93,93,93,93,93,93,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,2,1,0,Crafting,No Gear Set,Everything,(SwdPun)(SwdPun)(ShdRes)
Fervid Dream Stalker Hood,170,Fire,798,0,29,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,22,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,108,108,108,108,108,108,108,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,2,1,0,Crafting,No Gear Set,Everything,(SwdPun)(SwdPun)(ShdRes)
Fiery Chrysanthemum Cowl (Level 170+),170,Fire,798,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,81,81,81,81,81,81,81,81,81,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Illuminated Hardback Helmet (Level 170+),170,Fire,997,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,108,108,108,108,108,108,108,108,108,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,"Housing Gauntlet, Crowns",No Gear Set,Everything,(No Pins)
Jade Hood of Mystery (Level 100+),100,Fire,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Malevolent Fire Cap,150,Fire,747,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Shroud of Malistaire's Ire,100,Fire,420,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Burrower's Conjuration Hood (Level 160+),160,Myth,729,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,89,89,89,89,89,89,89,89,89,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,2,1,0,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Delightful Artisan Cap,140,Myth,704,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,315,0,0,0,Crafting,No Gear Set,Everything,(No Pins)
Dragoon's Mythic Helm,130,Myth,788,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Mythic Set,Everything,(No Pins)
Dworgyn's Havoc Hood (Level 150+),150,Myth,782,0,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,155,0,0,83,83,83,83,83,83,83,83,83,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Epic Hardback Helmet (Level 170+),170,Myth,940,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,167,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,"Housing Gauntlet, Crowns",No Gear Set,Everything,(No Pins)
Eternal Dreamscape Helm,160,Myth,729,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,134,0,0,0,0,89,89,89,89,89,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,2,1,0,Crafting,No Gear Set,Everything,(No Pins)
Fabled Dream Reaver Hood,170,Myth,846,0,0,40,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,202,0,191,0,0,0,0,87,87,87,87,87,87,87,87,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Fabled Dream Stalker Hood,170,Myth,752,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,194,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,2,1,0,Crafting,No Gear Set,Everything,(SwdCsh)(SwdCsh)(ShdRes)
Kan Davasi Victor's Hood,100,Myth,420,0,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Malevolent Myth Cap,150,Myth,747,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Mystic Chrysanthemum Cowl (Level 170+),170,Myth,752,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,191,0,0,0,0,75,75,75,75,75,75,75,75,75,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Trendy Fairy Kei Conical (Level 170+),170,Myth,658,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,191,0,0,0,0,87,87,87,87,87,87,87,87,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,0,Crowns,No Gear Set,Everything,(No Pins)
Avatar's Crown of Vengeance,170,Storm,831,0,0,0,37,0,44,0,0,0,0,0,0,0,0,0,0,0,0,7,18,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,209,0,246,0,0,0,77,77,77,77,77,77,77,77,77,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,"Drop, Crafting",No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
