Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Starting Pips,Source,Gear Set,Usable In,Unlocked,Jewels Used
Katana of Takanobu's Wrath,35,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Gold Key,No Gear Set,Everything,False,(No Jewels)
Lunar Scepter of Anubis (Level 100+),100,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,130,130,130,130,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Night King's Longbow (Level 170+),170,Death,0,12,12,12,12,12,12,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,135,0,0,84,84,84,84,84,84,84,84,84,6,6,6,6,6,6,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,2,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
Qismah's Focused Dagger,125,Death,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Crafting,No Gear Set,Everything,True,(No Jewels)
Root of Spring,95,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Crafting,No Gear Set,Everything,False,(No Jewels)
Sidhe Staff,65,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,"Drop, Crowns",No Gear Set,Everything,False,(No Jewels)
Silver Order of the Spiral (Level 100+),100,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
Wastelander's Grim Crusher (Level 170+),170,Death,0,14,14,14,14,14,14,26,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,118,0,0,84,84,84,84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,182,182,182,182,182,182,304,182,182,0,19,0,0,0,0,0,0,0,0,0,1,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Winter Palace Spikeleaf Sword (Level 130+),130,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58,58,58,58,58,58,58,122,122,122,122,122,122,122,122,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Fervid Dream Reaver Boomerang,170,Fire,0,18,30,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,73,146,73,73,73,73,73,73,73,88,88,88,88,88,88,88,88,88,0,11,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Drop, Crafting, Crowns",No Gear Set,Everything,False,(No Jewels)
Fire Fairy Kei Parasol (Level 170+),170,Fire,0,18,30,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,88,88,88,88,88,88,88,88,88,6,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Flaming Longbow (Level 170+),170,Fire,0,12,24,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,78,78,78,78,78,78,78,78,78,8,14,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,2,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
Ignus' Focused Torchstaff,125,Fire,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Crafting,No Gear Set,Everything,True,(No Jewels)
Illuminated Archival Quill (Level 170+),170,Fire,0,15,27,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,55,128,55,55,55,55,55,55,55,97,97,97,97,97,97,97,97,97,0,10,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Housing Gauntlet, Crowns",No Gear Set,Everything,False,(No Jewels)
Staff of Malistaire's Frenzy,100,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,95,95,95,95,95,95,95,95,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Drop,No Gear Set,Everything,False,(No Jewels)
Aphrodite's Stave of Guile,100,Myth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Stone Key,No Gear Set,Everything,True,(No Jewels)
Baba Yaga's Focused Mace,125,Myth,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Crafting,No Gear Set,Everything,True,(No Jewels)
Epic Archival Quill (Level 170+),170,Myth,0,14,14,14,14,25,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,57,57,57,57,133,57,57,57,57,92,92,92,92,92,92,92,92,92,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Housing Gauntlet, Crowns",No Gear Set,Everything,False,(No Jewels)
Fabled Dream Reaver Boomerang,170,Myth,0,17,17,17,17,28,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,76,76,76,76,152,76,76,76,76,83,83,83,83,83,83,83,83,83,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Drop, Crafting, Crowns",No Gear Set,Everything,False,(No Jewels)
Floramancer Relic of Ages (Level 170+),170,Myth,0,14,14,14,14,25,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,83,83,83,83,83,83,83,83,83,4,4,4,4,9,4,4,4,4,0,0,0,0,0,0,0,213,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Summer Trueflight Bow (Level 170+),170,Myth,0,11,11,11,11,22,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,152,0,0,0,0,74,74,74,74,74,74,74,74,74,8,8,8,8,13,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,2,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
Wastelander's Furious Crusher (Level 170+),170,Myth,0,14,14,14,14,25,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,133,0,0,0,0,74,74,74,74,74,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,182,182,182,182,304,182,182,182,182,0,19,0,0,0,0,0,0,0,0,0,1,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Ancient Ceremonial Yuleaxe (Level 130+),130,Storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Electric Fairy Kei Parasol (Level 170+),170,Storm,0,18,18,18,30,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,156,0,0,0,0,0,74,74,74,74,74,74,74,74,74,5,5,5,10,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Fierce Dream Reaver Boomerang,170,Storm,0,18,18,18,30,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,78,78,78,156,78,78,78,78,78,74,74,74,74,74,74,74,74,74,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Drop, Crafting, Crowns",No Gear Set,Everything,False,(No Jewels)
Floramancer Relic of Thorns (Level 170+),170,Storm,0,15,15,15,27,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,74,74,74,74,74,74,74,74,74,4,4,4,9,4,4,4,4,4,0,0,0,0,0,0,213,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,2,Crowns,No Gear Set,Everything,False,(No Jewels)
Fraught Archival Quill (Level 170+),170,Storm,0,15,15,15,27,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,59,59,59,137,59,59,59,59,59,82,82,82,82,82,82,82,82,82,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Housing Gauntlet, Crowns",No Gear Set,Everything,False,(No Jewels)
Ione's Focused Sword,125,Storm,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Crafting,No Gear Set,Everything,True,(No Jewels)
Squall Trueflight Bow (Level 170+),170,Storm,0,12,12,12,24,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,156,0,0,0,0,0,66,66,66,66,66,66,66,66,66,7,7,7,12,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,2,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
